| Test Case | E — Enable | D — Daylight | M — Manual Override | D' | D' + M | Expected L — Street Light |
| --------- | ---------: | -----------: | ------------------: | -: | -----: | ------------------------: |
| TC01      |          0 |            0 |                   0 |  1 |      1 |                 **0 OFF** |
| TC02      |          0 |            0 |                   1 |  1 |      1 |                 **0 OFF** |
| TC03      |          0 |            1 |                   0 |  0 |      0 |                 **0 OFF** |
| TC04      |          0 |            1 |                   1 |  0 |      1 |                 **0 OFF** |
| TC05      |          1 |            0 |                   0 |  1 |      1 |                  **1 ON** |
| TC06      |          1 |            0 |                   1 |  1 |      1 |                  **1 ON** |
| TC07      |          1 |            1 |                   0 |  0 |      0 |                 **0 OFF** |
| TC08      |          1 |            1 |                   1 |  0 |      1 |                  **1 ON** |

